accession	label	description	clean_header	length	n_count
V00078.1	Antheraea polyphemus	Chorion A4--C1 gene of Antheraea polyphemus (silk moth)J01159.1 Silkmoth (A.polyphemus) chorion A4--c1 protein mRNA, class A; clone pc292	V00078.1 Antheraea polyphemus	409	0
X03542.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone 1)	X03542.1 Bombyx mori	354	0
X03543.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone 16)	X03543.1 Bombyx mori	190	0
X03544.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone 6)	X03544.1 Bombyx mori	237	0
X03545.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone 10)	X03545.1 Bombyx mori	243	0
X03546.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone 11)	X03546.1 Bombyx mori	250	0
X03547.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone A) located in the intron of 5H4 early chorion gene the early chorion locus is located 4 map units from the late chorion locus of chromosome 2	X03547.1 Bombyx mori	445	0
X03548.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone B) located within the 3'flank of 5H4 early chorion gene the early chorion locus is located 4 map units from the late chorion locus of chromosome 2	X03548.1 Bombyx mori	266	0
X03549.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone C) located within the 3'flank of 5H4 early chorion gene (reverse) the early chorion locus is located 4 map units from the late chorion locus of chromosome 2	X03549.1 Bombyx mori	239	0
X03551.1	Bombyx mori	Bombyx mori Bm1 repetitive DNA element (clone D) located within the 3'flank of 5H4 early chorion gene the early chorion locus is located 4 map units from the late chorion locus of chromosome 2	X03551.1 Bombyx mori	397	0
X01826.1	B.mori gene	B.mori gene for B family chorion protein (clone 410)	X01826.1 B.mori gene	512	0
X12837.1	B.mori mRNA	B.mori mRNA for B family chorion protein (clone M2410)	X12837.1 B.mori mRNA	332	0
X12839.1	B.mori mRNA	B.mori mRNA for B family chorion protein (clone M1768)	X12839.1 B.mori mRNA	449	0
X12840.1	B.mori mRNA	B.mori mRNA for B family chorion protein (clone M3A5)	X12840.1 B.mori mRNA	343	0
X51321.1	Caenorhabditis elegans	Caenorhabditis elegans mRNA for hypothetical protein, clone c10-12	X51321.1 Caenorhabditis elegans	1507	0
X56915.1	D. bifasciata	D. bifasciata DNA for P-element (bif1)X61795.1 D.bifasciata P-Transposon (clone NbifM1)	X56915.1 D. bifasciata	195	0
X56916.1	D. bifasciata	D. bifasciata DNA for P-element (bif2)X61747.1 D.bifasciata P-transposon (clone NbifM1)	X56916.1 D. bifasciata	653	0
X60990.1	D.bifasciata p-transposon	D.bifasciata p-transposon (clone jbifM3)	X60990.1 D.bifasciata p-transposon	2935	0
X04812.1	Drosophila hydei	Drosophila hydei y chromosome-specific ay1 repeat (clone ay1)	X04812.1 Drosophila hydei	393	0
X05043.1	Drosophila hydei	Drosophila hydei y chromosome-specific ay1 repeat (clone by9)	X05043.1 Drosophila hydei	496	0
X05047.1	Drosophila hydei	Drosophila hydei y chromosome-specific ay1 repeat (clone dy9)	X05047.1 Drosophila hydei	491	0
X62538.1	D.melanogaster DNA	D.melanogaster DNA fragment with novel joint J1	X62538.1 D.melanogaster DNA	850	0
Z16407.1	D.melanogaster DNA	D.melanogaster DNA (clone pfd800)	Z16407.1 D.melanogaster DNA	853	0
X63731.1	D.melanogaster regulatory	D.melanogaster regulatory signal sequence (clone scs)	X63731.1 D.melanogaster regulatory	1798	0
X63732.1	D.melanogaster regulatory	D.melanogaster regulatory signal sequence (clone scs')	X63732.1 D.melanogaster regulatory	1122	0
X04246.1	Drosophila gene	Drosophila gene for small nuclear U2 RNA (related to clone 141)	X04246.1 Drosophila gene	403	0
X04244.1	Drosophila gene	Drosophila gene for small nuclear U2 RNA (related to clone 131)	X04244.1 Drosophila gene	443	0
X60174.1	D.silvestris clone	D.silvestris clone U28T2 non-LTR retrotransposon DNA (6279 bp)	X60174.1 D.silvestris clone	6279	0
X60175.1	D.silvestris clone	D.silvestris clone U28T2 non-LTR retrotransposon DNA (3778 bp)	X60175.1 D.silvestris clone	3778	0
X60176.1	D.silvestris clone	D.silvestris clone U28T2 non-LTR retrotransposon DNA (5218 bp)	X60176.1 D.silvestris clone	5218	0
X17670.1	Holothuria polii	Holothuria polii satellite DNA (clone pHPE11)	X17670.1 Holothuria polii	400	0
X17671.1	Holothuria polii	Holothuria polii satellite DNA (clone pHPE42)	X17671.1 Holothuria polii	391	0
X17672.1	Holothuria polii	Holothuria polii satellite DNA (clone pHPE65)	X17672.1 Holothuria polii	391	0
X17673.1	Holothuria polii	Holothuria polii satellite DNA (clone pHPE66)	X17673.1 Holothuria polii	391	0
X17674.1	Holothuria polii	Holothuria polii satellite DNA (clone pHPE71)	X17674.1 Holothuria polii	391	0
X57584.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-1)	X57584.1 L.cuprina satellite	132	0
X57585.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-13)	X57585.1 L.cuprina satellite	190	0
X57586.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-14)	X57586.1 L.cuprina satellite	188	0
X57587.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-15)	X57587.1 L.cuprina satellite	182	0
X57588.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-19)	X57588.1 L.cuprina satellite	182	0
X57589.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-21)	X57589.1 L.cuprina satellite	189	0
X57590.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-6)	X57590.1 L.cuprina satellite	182	0
X57591.1	L.cuprina satellite	L.cuprina satellite DNA (clone TRS188-7)	X57591.1 L.cuprina satellite	174	0
X06555.1	Leishmania major	Leishmania major DNA for membrane antigen containing repeating peptides (clone 20)	X06555.1 Leishmania major	815	0
X06556.1	Leishmania major	Leishmania major DNA for antigen containing repeating peptides (clone 39)	X06556.1 Leishmania major	160	0
X57134.1	L.major mRNA	L.major mRNA for surface antigen P2 (clone 2.5)	X57134.1 L.major mRNA	1117	0
X57135.1	L.major mRNA	L.major mRNA for surface antigen P2 (clone 4.6)	X57135.1 L.major mRNA	984	0
X56810.1	L.major mRNA	L.major mRNA for surface antigen P2 (clone 6.4)	X56810.1 L.major mRNA	2529	0
X04892.1	Plasmodium chabaudi	Plasmodium chabaudi mRNA fragment for 24 kd antigen (clone 443)	X04892.1 Plasmodium chabaudi	331	0
X06426.1	Plasmodium falciparum	Plasmodium falciparum (FCR3) mRNA, clone 22	X06426.1 Plasmodium falciparum	1109	0
X17483.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 14C1)	X17483.1 Plasmodium falciparum	1173	0
X17484.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 17C1)	X17484.1 Plasmodium falciparum	703	0
X17485.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 18C1)	X17485.1 Plasmodium falciparum	3769	0
X17486.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 25C4)	X17486.1 Plasmodium falciparum	2007	0
X17487.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 28C6)	X17487.1 Plasmodium falciparum	717	0
X17488.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 37C3)	X17488.1 Plasmodium falciparum	3192	0
X17489.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 52C11)	X17489.1 Plasmodium falciparum	1284	0
X17490.1	Plasmodium falciparum	Plasmodium falciparum mRNA for asparagine-rich antigen (clone 53C6)	X17490.1 Plasmodium falciparum	434	0
X53014.1	P.falciparum DNA	P.falciparum DNA for erythrocyte membrane-associated antigen (clone pPf118)	X53014.1 P.falciparum DNA	1554	0
X53025.1	P.falciparum DNA	P.falciparum DNA for erythrocyte membrane-associated antigen (clone pPfk34)	X53025.1 P.falciparum DNA	253	0
X53026.1	P.falciparum DNA	P.falciparum DNA for erythrocyte membrane-associated antigen (clone pPfk51)	X53026.1 P.falciparum DNA	631	0
X01343.1	Psammechinus miliaris	Psammechinus miliaris gene for histone H4 (clone h19)	X01343.1 Psammechinus miliaris	700	0
X57501.1	P.univalens terminal	P.univalens terminal heterochromatin pentameric repeat segment DNA (clone pAm1)	X57501.1 P.univalens terminal	594	0
X57502.1	P.univalens terminal	P.univalens terminal heterochromatin pentameric repeat segment DNA (clone pAm2)	X57502.1 P.univalens terminal	220	0
X57504.1	P.univalens pentameric	P.univalens pentameric repeat segment DNA (clone pAm4)	X57504.1 P.univalens pentameric	584	0
X57505.1	P.univalens terminal	P.univalens terminal heterochromatin pentameric repeat segment DNA (clone pAm6)	X57505.1 P.univalens terminal	265	0
X57506.1	P.univalens terminal	P.univalens terminal heterochromatin pentameric repeat segment DNA (clone pAm7)	X57506.1 P.univalens terminal	340	0
X57507.1	P.univalens pentameric	P.univalens pentameric repeat segment DNA (clone pAm8)	X57507.1 P.univalens pentameric	357	0
X57508.1	P.univalens terminal	P.univalens terminal heterochromatin pentameric repeat segment DNA (clone pAm9)	X57508.1 P.univalens terminal	204	0
X57511.1	P.univalens pentameric	P.univalens pentameric repeat segment DNA (clone pU12)	X57511.1 P.univalens pentameric	137	0
X58635.1	P.univalens telomeric	P.univalens telomeric pentameric repeat segment DNA (clone pTem5)	X58635.1 P.univalens telomeric	784	0
X53681.1	P.vivax antigenic	P.vivax antigenic determinant (clone PV12)	X53681.1 P.vivax antigenic	447	0
X53680.1	P.vivax newly	P.vivax newly isolated recombinant antigen DNA (clone PV9)	X53680.1 P.vivax newly	174	0
X16019.1	S.lemnae histone	S.lemnae histone H4 gene (clone H4g)	X16019.1 S.lemnae histone	756	0
X17532.1	S.purpuratus RNA	S.purpuratus RNA for epidermal growth factor, uEGF (clone u2)	X17532.1 S.purpuratus RNA	442	0
X02715.1	Trypanosome VSG	Trypanosome VSG 117 gene 5'limit of transposition (117 ELC)K02321.1 T.brucei transposed segment (117TS), clone 117ELC	X02715.1 Trypanosome VSG	246	0
X70863.1	D.melanogaster mRNA	D.melanogaster mRNA for sgg39 protein kinase (clone pNB39)	X70863.1 D.melanogaster mRNA	2900	0
X70865.1	D.melanogaster mRNA	D.melanogaster mRNA for sgg10 protein kinase (clone pnB9)	X70865.1 D.melanogaster mRNA	774	0
X70866.1	D.melanogaster mRNA	D.melanogaster mRNA for sgg protein kinase (clone pnB11)	X70866.1 D.melanogaster mRNA	1011	0
X04789.1	Rice chloroplast	Rice chloroplast DNA for ribulose-1,5-biphosphate carboxylase (clone pCT-1)	X04789.1 Rice chloroplast	1989	0
X63422.1	Homo sapiens	Homo sapiens mRNA for delta-subunit of mitochondrial F1F0 ATP-synthase (clone #1)	X63422.1 Homo sapiens	994	0
X63423.1	Home sapiens	Home sapiens mRNA for delta-subunit of mitochondrial F1F0 ATP-synthase (clone #5)	X63423.1 Home sapiens	691	0
V00650.1	Aspergillus nidulans	Mitochondrion Aspergillus nidulans unidentified reading frames URF1 and URF4 (identified by homology to human URF1 and URF4)	V00650.1 Aspergillus nidulans	2830	0
X04109.1	L.tarentolae kinetoplast	L.tarentolae kinetoplast partial minicircle sequence (clone D9)	X04109.1 L.tarentolae kinetoplast	286	0
X04110.1	L.tarentolae kinetoplast	L.tarentolae kinetoplast partial minicircle sequence (clone D7)	X04110.1 L.tarentolae kinetoplast	173	0
X04111.1	L.tarentolae kinetoplast	L.tarentolae kinetoplast partial minicircle sequence (clone D12)	X04111.1 L.tarentolae kinetoplast	207	0
X04112.1	L.tarentolae kinetoplast	L.tarentolae kinetoplast partial minicircle sequence (clone B4)	X04112.1 L.tarentolae kinetoplast	488	0
X04113.1	L.tarentolae kinetoplast	L.tarentolae kinetoplast partial minicircle sequence (clone B11)	X04113.1 L.tarentolae kinetoplast	315	0
X14014.1	Trout mitochondrial	Trout mitochondrial DNA for unidentified reading frame 4 URF4	X14014.1 Trout mitochondrial	531	0
X15810.1	T.vulgare mitochondrial	T.vulgare mitochondrial (clone pRec 11) tRNA-like DNA	X15810.1 T.vulgare mitochondrial	350	0
V01469.1	Unidentified maize	Unidentified maize gene isolated as mRNA and as genomic clone. This sequence stems from the genomic clone	V01469.1 Unidentified maize	225	0
X52504.1	Bacteriophage phi	Bacteriophage phi-H DNA for PhiH1 putative repressor and unidentified reading frame	X52504.1 Bacteriophage phi	1140	0
V01534.1	This regions	Bacteriophage P1 genome fragment (IS2 insertion spot). This regions contains four unidentified reading frames and is known as insertion hot spot for IS2 insertion sequences	V01534.1 This regions	1756	0
Z11457.1	Aegilops comosa	Aegilops comosa Sibth. et Smith 5S DNAEU925041.1 Aegilops comosa clone comosum_1 5S ribosomal RNA gene, complete sequenceEU925044.1 Aegilops comosa clone comosum_7 5S ribosomal RNA gene, complete sequence	Z11457.1 Aegilops comosa	409	0
Z11477.1	Aegilops caudata	Aegilops caudata L. 5S DNAEU924958.1 Aegilops markgrafii clone Trit908-6 5S ribosomal RNA gene, complete sequenceEU924963.1 Aegilops markgrafii clone Trit911-6 5S ribosomal RNA gene, complete sequenceHQ270760.1 Aegilops cylindrica clone CY920-9 5S ribosomal RNA gene, complete sequenceHQ270908.1 Aegilops triuncialis clone TR960-3 5S ribosomal RNA gene, complete sequenceHQ270909.1 Aegilops triuncialis clone TR960-6 5S ribosomal RNA gene, complete sequence	Z11477.1 Aegilops caudata	411	0
X51806.1	Acetabularia cliftonii	Acetabularia cliftonii partial mRNA ribulose 1,5-bisphosphate carboxylase/oxygenase (EC 4.1.1.39), small subunit (rbcS gene), clone C1	X51806.1 Acetabularia cliftonii	576	0
X51807.1	Acetabularia cliftonii	Acetabularia cliftonii partial mRNA ribulose 1,5-bisphosphate carboxylase/oxygenase (EC 4.1.1.39), small subunit (rbcS gene), clone C2	X51807.1 Acetabularia cliftonii	391	0
X51808.1	Acetabularia cliftonii	Acetabularia cliftonii mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone C3	X51808.1 Acetabularia cliftonii	821	0
X51809.1	Acetabularia cliftonii	Acetabularia cliftonii mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone C4	X51809.1 Acetabularia cliftonii	793	0
X51810.1	Acetabularia cliftonii	Acetabularia cliftonii mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small sububnit (rbcS gene), clone C5	X51810.1 Acetabularia cliftonii	734	0
X02573.1	Allium cepa	Allium cepa satellite DNA repeat (clone 8062)	X02573.1 Allium cepa	380	0
X02572.1	Allium cepa	Allium cepa satellite DNA repeat (clone 8013)	X02572.1 Allium cepa	372	0
X02574.1	Allium cepa	Allium cepa satellite DNA repeat (clone 8009)	X02574.1 Allium cepa	383	0
Z11478.1	Aegilops longissima	Aegilops longissima Scheinf. et Muschl. 5S DNAEU924906.1 Aegilops longissima clone Trit934-2 5S ribosomal RNA gene, complete sequenceEU924909.1 Aegilops longissima clone Trit934-5 5S ribosomal RNA gene, complete sequenceEU924917.1 Aegilops longissima clone Trit935-9 5S ribosomal RNA gene, complete sequenceFJ882431.1 Aegilops longissima x Aegilops tauschii clone TRIT882-1 5S ribosomal RNA gene, complete sequenceHQ270811.1 Aegilops kotschyi clone KO930-9 5S ribosomal RNA gene, complete sequenceHQ270857.1 Aegilops peregrina var. peregrina clone PE944-2 5S ribosomal RNA gene, complete sequenceHQ270865.1 Aegilops peregrina var. peregrina clone PE946-9 5S ribosomal RNA gene, complete sequenceHQ270869.1 Aegilops peregrina var. peregrina clone PE947-8 5S ribosomal RNA gene, complete sequenceHQ270870.1 Aegilops peregrina var. peregrina clone PE947-13 5S ribosomal RNA gene, complete sequenceHQ270871.1 Aegilops peregrina var. peregrina clone PE947-21 5S ribosomal RNA gene, complete sequence	Z11478.1 Aegilops longissima	411	0
X51811.1	Acetabularia mediterranea	Acetabularia mediterranea mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone M1	X51811.1 Acetabularia mediterranea	833	0
X51812.1	Acetabularia mediterranea	Acetabularia mediterranea partial mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone M2	X51812.1 Acetabularia mediterranea	797	0
X51813.1	Acetabularia mediterranea	Acetabularia mediterranea mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone M3	X51813.1 Acetabularia mediterranea	890	0
X51814.1	Acetabularia mediterranea	Acetabularia mediterranea mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone M4	X51814.1 Acetabularia mediterranea	741	0
X51815.1	Acetabularia mediterranea	Acetabularia mediterranea mRNA for ribulose 1,5-bisphosphate carboxylase/oxygenase, small subunit (rbcS gene), clone M5	X51815.1 Acetabularia mediterranea	752	0
Z11463.1	Aegilops searsii	Aegilops searsii Feldman et Kislev 5S DNAEU924923.1 Aegilops searsii clone Trit948-6 5S ribosomal RNA gene, complete sequenceEU924925.1 Aegilops searsii clone Trit948-8 5S ribosomal RNA gene, complete sequence	Z11463.1 Aegilops searsii	410	0
X54368.1	Ser and	A. thaliana genes for tRNA-Ser and tRNA-Tyr (I and II), (clone pAtY1)	X54368.1 Ser and	1578	0
X54369.1	Ser and	A. thaliana genes for tRNA-Ser and tRNA-Tyr (I and II), (clone pAtY2)	X54369.1 Ser and	1802	0
X54370.1	A. thaliana	A. thaliana genes for tRNA-Ser (I and II), and tRNA-Tyr (I, II, and III), (clone pAtY3)	X54370.1 A. thaliana	2484	0
X54371.1	A. thaliana	A. thaliana gene for tRNA-Tyr (clone pAtY4)	X54371.1 A. thaliana	597	0
X54372.1	Ser and	A. thaliana gene for tRNA-Ser and tRNA-Tyr (I and II), (clone pAtY5)	X54372.1 Ser and	1536	0
X54373.1	Ser and	A. thaliana genes for tRNA-Ser and tRNA-Tyr (I and II), (clone pAtY6)	X54373.1 Ser and	1538	0
X54374.1	Ser and	A. thaliana genes for tRNA-Ser and tRNA-Tyr (I and II), (clone pAtY7)	X54374.1 Ser and	1538	0
X54996.1	A.thaliana (clone	A.thaliana (clone At-2) TFIID mRNA for transcription initiation factor II	X54996.1 A.thaliana (clone	1109	0
X57592.1	Trp gene	A.thaliana tRNA-Trp gene (clone 1)	X57592.1 Trp gene	343	0
X57593.1	Trp gene	A.thaliana tRNA-Trp gene (clone 2)	X57593.1 Trp gene	429	0
X57594.1	Trp gene	A.thaliana tRNA-Trp gene (clone 3)	X57594.1 Trp gene	245	0
Z18377.1	Arabidopsis thaliana	Arabidopsis thaliana transcribed sequence; clone GBGa288, 5' end; similar to Vegetative storage protein,27K,precursor - soybean	Z18377.1 Arabidopsis thaliana	235	0
Z18417.1	Arabidopsis thaliana	Arabidopsis thaliana transcribed sequence; clone GBGa463, 5' end; similar to Cyc07 protein, S-phase specific - Madagascar	Z18417.1 Arabidopsis thaliana	187	0
Z11479.1	Aegilops umbellutata	Aegilops umbellutata Zhuk. 5S DNAEU925072.1 Aegilops umbellulata clone T_umb4 5S ribosomal RNA gene, complete sequenceEU925073.1 Aegilops umbellulata clone T_umb5 5S ribosomal RNA gene, complete sequence	Z11479.1 Aegilops umbellutata	489	0
X61752.1	B. napus	B. napus A9 mRNA (clone A30)	X61752.1 B. napus	257	0
Z21608.1	B.napus mRNA	B.napus mRNA for endogenous S-locus glycoprotein (clone SLG-Ws-1)	Z21608.1 B.napus mRNA	1472	0
X16587.1	B. nigra	B. nigra tandem repeat DNA (clone pBN 34)	X16587.1 B. nigra	348	0
X16588.1	B. nigra	B. nigra repeat DNA (clone pBN 35)	X16588.1 B. nigra	496	0
X16589.1	B. nigra	B. nigra tandem repeat DNA (clone BN1G 9, BN1G 23, BG1G 14)	X16589.1 B. nigra	177	0
X05060.1	Brassica napus	Brassica napus 5S ribosomal RNAX05059.1 Beta vulgaris saccharifera 5S ribosomal RNAAJ972877.1 Vitis vinifera 5S rRNA geneHF542974.1 Corylus avellana 5S rRNA gene, clone 4M10359.1 Spinach (S.oleracea) cytoplasmic 5S rRNA	X05060.1 Brassica napus	120	0
X57266.1	Batophora oerstedii	Batophora oerstedii mRNA for ribulose bisphosphate carboxylase small subunit, clone B1	X57266.1 Batophora oerstedii	758	0
X57267.1	B.oerstedii mRNA	B.oerstedii mRNA for ribulose bisphosphate carboxylase small subunit, clone B2	X57267.1 B.oerstedii mRNA	524	0
X60772.1	Da oleosin	G.max mRNA for 24 kDa oleosin isoform (partial) (clone P24/89)	X60772.1 Da oleosin	732	0
X65988.1	Humulus japonicus	Humulus japonicus small cytoplasmic RNA 7S (7S RNA gene), clone_lib Z10o	X65988.1 Humulus japonicus	302	0
X65990.1	Humulus japonicus	Humulus japonicus small cytoplasmic RNA 7S (7S RNA gene), clone_lib Z13oHG323776.1 TPA: Humulus japonicus SRP RNA for signal recognition particle RNA	X65990.1 Humulus japonicus	301	0
X65991.1	Humulus japonicus	Humulus japonicus small cytoplasmic RNA 7S (7S RNA gene), clone_lib Z20pHG323777.1 TPA: Humulus japonicus SRP RNA for signal recognition particle RNA	X65991.1 Humulus japonicus	303	0
X65983.1	Humulus lupulus	Humulus lupulus small cytoplasmic RNA 7S (7S RNA gene), clone_lib H10pHG323780.1 TPA: Humulus lupulus SRP RNA for signal recognition particle RNA	X65983.1 Humulus lupulus	306	0
X65984.1	Humulus lupulus	Humulus lupulus small cytoplasmic RNA 7S (7S RNA gene), clone_lib H20oHG323778.1 TPA: Humulus lupulus SRP RNA for signal recognition particle RNA	X65984.1 Humulus lupulus	307	0
X65985.1	Humulus lupulus	Humulus lupulus small cytoplasmic RNA 7S (7S RNA gene), clone_lib H10oHG323779.1 TPA: Humulus lupulus SRP RNA for signal recognition particle RNA	X65985.1 Humulus lupulus	303	0
X65987.1	Humulus lupulus	Humulus lupulus small cytoplasmic RNA 7S (7S RNA gene), clone_lib S15o	X65987.1 Humulus lupulus	301	0
X15226.1	Amy gene	Barley Amy gene for alpha amylase (clone gRAmy152) (EC 3.2.1.1)	X15226.1 Amy gene	2625	0
